downloadId,eulaCode,url,downloadEntity,entityType
367939179,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221009_20221016_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxNzksImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDlsZlQySWJnRjVaRlF3M05oY1hsanlLWEVcL0w5WmNGc0h2WHVQVDc3cFUwIn0=,LC08_CU_030008_20221009_20221016_02,BT
367939180,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221025_20221111_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODAsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJDNMTXZHeTBQMklhekFmU2xMaFJUM0c0ODg2S2xBVk9sTlBVeU5KZ1QwR1wvIn0=,LC08_CU_030008_20221025_20221111_02,QA
367939181,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221025_20221111_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODEsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFZ5R3V6MTVUZ2o1aXlGWDl3Znd2WXBreFV1RFlWMHkuQUhrSnRrN2szLjQifQ==,LC08_CU_030008_20221025_20221111_02,MTL
367939182,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221025_20221111_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODIsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGtJenV2WHRkOXhydW0uNDVjQW9nNWVrRUREbjZrc0pqR0Y3T2wub09oXC82In0=,LC08_CU_030008_20221025_20221111_02,SR
367939183,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221025_20221111_02_ST&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODMsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJFd5MEJDOHRwM3FpTGE5aWRIZE1IdHZnYjVBZ0VxTVY0UjAuQkl4S3UwYkIifQ==,LC08_CU_030008_20221025_20221111_02,ST
367939184,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221025_20221111_02_TOA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODQsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHFjcE12eGg4THVlMUs0aHF6YjZmZjFsdm03eFlZLkJPaklCUG5YVDR3di4ifQ==,LC08_CU_030008_20221025_20221111_02,TOA
367939185,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221025_20221111_02_BT&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODUsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJG5Nc2xDZ2VPbG1xZGdMdEp0TURmNjNSMXdzTHN5ZFh3aVJwU2JkY0JpVEEifQ==,LC08_CU_030008_20221025_20221111_02,BT
367939186,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221027_20221111_02_QA&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODYsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGE3NGdYODdPWEtMSnJZRGZmMDk4cVM0VU1pMk4xQWJtRXFRd25FTmZiOTIifQ==,LC08_CU_030008_20221027_20221111_02,QA
367939187,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221027_20221111_02_MTL&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODcsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJGJWN0RNQ1dVWTV0SjJGNlRzMEdVamlqcWx0SDhOaHg0YW1ZU21PU0xqVzUifQ==,LC08_CU_030008_20221027_20221111_02,MTL
367939188,,https://landsatlook.usgs.gov/gen-bundle?landsat_product_id=LC08_CU_030008_20221027_20221111_02_SR&requestSignature=eyJjb250YWN0SWQiOjI2NjY4NjgyLCJkb3dubG9hZElkIjozNjc5MzkxODgsImRhdGVHZW5lcmF0ZWQiOiIyMDIzLTAyLTIyVDExOjI3OjM0LTA2OjAwIiwic2lnbmF0dXJlIjoiJDUkJHNRTmhkT25VNEU0SnlyZ1cwM3FlNVNLVHpQTzhJR3BaZ1Q0VU5tR1pXVkMifQ==,LC08_CU_030008_20221027_20221111_02,SR
